"","olr.anom","date","week","year"
"12437",5.01239928124375,2008-06-18,25,2008
"12444",1.9307796021372,2008-06-25,26,2008
"12451",2.23489573772306,2008-07-02,27,2008
"12458",12.5751335122437,2008-07-09,28,2008
"12465",-0.264649574074801,2008-07-16,29,2008
"12472",1.33847048939592,2008-07-23,30,2008
"12479",-0.248199525166216,2008-07-30,31,2008
"12486",8.96558702979559,2008-08-06,32,2008
"12493",1.29632048439951,2008-08-13,33,2008
"12500",-1.40006202179759,2008-08-20,34,2008
"12507",-7.64911518181804,2008-08-27,35,2008
"12514",-13.0358915127673,2008-09-03,36,2008
"12521",-13.2531019835251,2008-09-10,37,2008
"12528",-2.80500390100069,2008-09-17,38,2008
"12535",6.02639794546551,2008-09-24,39,2008
"12542",9.22447451822097,2008-10-01,40,2008
"12549",6.00162815121137,2008-10-08,41,2008
"12556",4.66137992301674,2008-10-15,42,2008
"12563",-15.594377592912,2008-10-22,43,2008
"12570",-11.9753803236742,2008-10-29,44,2008
"12577",-2.41383050111674,2008-11-05,45,2008
"12584",-10.9973400502965,2008-11-12,46,2008
"12591",-9.75047592036356,2008-11-19,47,2008
"12598",-9.73748866582552,2008-11-26,48,2008
"12605",-9.06301016775896,2008-12-03,49,2008
"12612",-6.22015115316646,2008-12-10,50,2008
"12619",0.82177156119874,2008-12-17,51,2008
"12626",-9.08819125393735,2008-12-24,52,2008
"12633",-12.6211658845536,2008-12-31,53,2008
"12640",-8.09203276374697,2009-01-07,1,2009
"12647",-9.75881800575861,2009-01-14,2,2009
"12654",9.11523041677839,2009-01-21,3,2009
"12661",-2.13894196820308,2009-01-28,4,2009
"12668",-26.8730054420371,2009-02-04,5,2009
"12675",-11.7104361259893,2009-02-11,6,2009
"12682",-5.55879764934078,2009-02-18,7,2009
"12689",-17.9575637866768,2009-02-25,8,2009
"12696",-13.9424947506839,2009-03-04,9,2009
"12703",-6.23740143098602,2009-03-11,10,2009
"12710",-8.45704560850643,2009-03-18,11,2009
"12717",2.03712744519984,2009-03-25,12,2009
"12724",15.8818437823717,2009-04-01,13,2009
"12731",2.4694286949391,2009-04-08,14,2009
"12738",-10.7533485357383,2009-04-15,15,2009
"12745",-11.00879313448,2009-04-22,16,2009
"12752",11.4421343594552,2009-04-29,17,2009
"12759",4.59014757408434,2009-05-06,18,2009
"12766",-6.83453175554541,2009-05-13,19,2009
"12773",-12.0527165226901,2009-05-20,20,2009
"12780",-0.218591093487788,2009-05-27,21,2009
"12787",-6.62090725003783,2009-06-03,22,2009
"12794",2.27544557185548,2009-06-10,23,2009
"12801",8.24309214672797,2009-06-17,24,2009
"12808",4.1608457775238,2009-06-24,25,2009
"12815",2.05133922398339,2009-07-01,26,2009
"12822",2.05046296439125,2009-07-08,27,2009
"12829",-10.0491369260191,2009-07-15,28,2009
"12836",-9.70372149569891,2009-07-22,29,2009
"12843",-8.56427753753782,2009-07-29,30,2009
"12850",14.4899853218663,2009-08-05,31,2009
"12857",9.88879227839664,2009-08-12,32,2009
"12864",7.0379488262722,2009-08-19,33,2009
"12871",-3.04847037192202,2009-08-26,34,2009
"12878",-8.29314835768703,2009-09-02,35,2009
"12885",4.89922454446169,2009-09-09,36,2009
"12892",2.04708986783231,2009-09-16,37,2009
