"","anom","date","week"
"208",-1.92768222942857,1982-12-22,51
"209",-2.27572073242857,1982-12-29,52
"210",-1.34840154642857,1983-01-05,1
"211",-1.08962993728571,1983-01-12,2
"212",-1.38457827914286,1983-01-19,3
"213",-1.15443570257143,1983-01-26,4
"214",-2.01258587842857,1983-02-02,5
"215",-2.575409276,1983-02-09,6
"216",0.111905102609103,1983-02-16,7
"217",-0.22812836500946,1983-02-23,8
"218",-0.313323265758902,1983-03-02,9
"219",0.189750785008268,1983-03-09,10
"220",0.918428267751421,1983-03-16,11
"221",0.308345349723619,1983-03-23,12
"222",-0.360055704046173,1983-03-30,13
"223",-0.266676069414479,1983-04-06,14
"224",-0.0176135983415669,1983-04-13,15
"225",0.778589468995553,1983-04-20,16
"226",0.107798476284116,1983-04-27,17
"227",-0.919061363906449,1983-05-04,18
"228",0.251366558962645,1983-05-11,19
"229",0.740352341062552,1983-05-18,20
"230",-1.46636196973718,1983-05-25,21
"231",-0.125470812782521,1983-06-01,22
"232",0.901723214558193,1983-06-08,23
"233",1.56284265006054,1983-06-15,24
"234",-2.56363354414286,1983-06-22,25
"235",-1.48125809442857,1983-06-29,26
"236",0.349729158880018,1983-07-06,27
"237",0.445854969314078,1983-07-13,28
"238",0.801963682753176,1983-07-20,29
"239",2.8987854208265,1983-07-27,30
"240",2.47012744631086,1983-08-03,31
"241",2.26364037820271,1983-08-10,32
"242",0.302732219941855,1983-08-17,33
"243",-0.590815997571429,1983-08-24,34
"244",-1.67481047771429,1983-08-31,35
"245",-0.380993324718901,1983-09-07,36
"246",-2.36732539114286,1983-09-14,37
"247",0.119912025129316,1983-09-21,38
"248",1.00396206549236,1983-09-28,39
"249",2.39206336223205,1983-10-05,40
"250",0.873668457766368,1983-10-12,41
"251",-0.930541847451577,1983-10-19,42
"252",1.82788699013846,1983-10-26,43
"253",1.92541301250458,1983-11-02,44
"254",0.300832692625445,1983-11-09,45
"255",-0.172354301250997,1983-11-16,46
"256",0.819474850442579,1983-11-23,47
"257",1.05087058884757,1983-11-30,48
"258",0.526985031153475,1983-12-07,49
"259",0.303612036938326,1983-12-14,50
"260",0.0101555852136906,1983-12-21,51
"261",0.883937598839852,1983-12-28,52
"262",-0.538640971579276,1984-01-04,1
"263",-0.235925918571429,1984-01-11,2
"264",-1.39321366357143,1984-01-18,3
"265",-1.53442592271429,1984-01-25,4
"266",-2.46893075542857,1984-02-01,5
"267",-1.21257116955529,1984-02-08,6
"268",0.546577692031001,1984-02-15,7
"269",-0.120454079353771,1984-02-22,8
"270",0.472108013975119,1984-02-29,9
"271",-0.330128624964835,1984-03-07,10
"272",0.37085399883134,1984-03-14,11
"273",0.290588236261925,1984-03-21,12
"274",0.334785572626713,1984-03-28,13
"275",-0.106008294088371,1984-04-04,14
"276",-0.703392582285714,1984-04-11,15
"277",0.374216729648882,1984-04-18,16
"278",-0.385162104999139,1984-04-25,17
"279",-0.252141488560818,1984-05-02,18
"280",-1.07537621257143,1984-05-09,19
"281",-2.79776447157143,1984-05-16,20
"282",-0.906220989504519,1984-05-23,21
"283",-0.158061342633203,1984-05-30,22
"284",0.51244818550403,1984-06-06,23
