year,month,day,aao_index_cdas
1985,8,20,0.9493280649185181
1985,8,21,0.8236974477767944
1985,8,22,0.36556699872016907
1985,8,23,0.065722726
1985,8,24,-0.149366304
1985,8,25,-0.274098486
1985,8,26,0.218348891
1985,8,27,0.5641512870788574
1985,8,28,1.0692417621612549
1985,8,29,1.5692481994628906
1985,8,30,1.7420158386230469
1985,8,31,1.6147767305374146
1985,9,1,1.331451416015625
1985,9,2,0.8009077310562134
1985,9,3,0.3188822865486145
1985,9,4,0.25960421562194824
1985,9,5,0.599786103
1985,9,6,1.198809027671814
1985,9,7,0.7593256235122681
1985,9,8,-0.019348269
1985,9,9,-0.315483451
1985,9,10,0.29846423864364624
1985,9,11,1.1058177947998047
1985,9,12,1.3635408878326416
1985,9,13,2.1132688522338867
1985,9,14,2.4596991539001465
1985,9,15,2.3008549213409424
1985,9,16,2.474749803543091
1985,9,17,2.5581400394439697
1985,9,18,2.6924803256988525
1985,9,19,2.4718849658966064
1985,9,20,2.0585081577301025
1985,9,21,2.1518161296844482
1985,9,22,2.3061769008636475
1985,9,23,2.724600076675415
1985,9,24,3.034872531890869
1985,9,25,2.462639331817627
1985,9,26,1.7686715126037598
1985,9,27,1.3598803281784058
1985,9,28,0.8050101399421692
1985,9,29,0.2118600457906723
1985,9,30,-0.131424665
1985,10,1,-0.517718911
1985,10,2,-0.299346536
1985,10,3,0.10840365290641785
1985,10,4,0.4299670159816742
1985,10,5,0.3753272294998169
1985,10,6,0.6832123398780823
1985,10,7,0.8449050188064575
1985,10,8,0.6106182932853699
1985,10,9,0.5910964012145996
1985,10,10,0.8077561259269714
1985,10,11,0.9920831322669983
1985,10,12,1.5308336019515991
1985,10,13,1.9350457191467285
1985,10,14,1.9981831312179565
1985,10,15,1.9381877183914185
1985,10,16,2.137531042098999
1985,10,17,2.0149130821228027
1985,10,18,1.474546194076538
1985,10,19,0.9748326539993286
1985,10,20,0.5540537238121033
1985,10,21,0.15495263040065765
1985,10,22,-0.363039225
1985,10,23,-0.360952288
1985,10,24,-0.50107491
1985,10,25,-0.513099909
1985,10,26,-0.353167892
1985,10,27,-0.385769188
1985,10,28,-0.789431274
1985,10,29,-0.927340388
1985,10,30,-0.911558449
1985,10,31,-0.239666849
1985,11,1,0.1695372760295868
1985,11,2,0.23720797896385193
1985,11,3,-0.031633578
1985,11,4,-0.029380301
1985,11,5,-0.207880184
1985,11,6,-0.580079913
1985,11,7,-0.779357255
1985,11,8,-0.761105537
1985,11,9,-0.75260818
1985,11,10,-0.393851459
1985,11,11,0.8905993103981018
1985,11,12,2.1389968395233154
1985,11,13,2.3790547847747803
1985,11,14,1.8919495344161987
1985,11,15,2.018352508544922
1985,11,16,2.129168748855591
1985,11,17,2.4210619926452637
1985,11,18,2.705620765686035
1985,11,19,2.6832830905914307
1985,11,20,2.2544140815734863
1985,11,21,1.8241478204727173
1985,11,22,1.4063266515731812
1985,11,23,0.8665194511413574
1985,11,24,0.7831352353096008
1985,11,25,1.0562480688095093
1985,11,26,1.3408392667770386
1985,11,27,1.756555199623108
1985,11,28,1.792508840560913
1985,11,29,1.2561275959014893
1985,11,30,0.8359330892562866
1985,12,1,0.8789238929748535
1985,12,2,0.7009087800979614
1985,12,3,0.5375149250030518
1985,12,4,0.7128292322158813
1985,12,5,1.1825743913650513
1985,12,6,1.6874021291732788
1985,12,7,2.183758020401001
1985,12,8,2.4641127586364746
1985,12,9,2.253016948699951
1985,12,10,1.8666397333145142
1985,12,11,1.6674487590789795
1985,12,12,0.9857441782951355
1985,12,13,0.6199830770492554
1985,12,14,0.7611478567123413
1985,12,15,0.7594420909881592
1985,12,16,1.0580546855926514
1985,12,17,1.530180573
1985,12,18,1.9604456424713135
1985,12,19,1.673211932182312
1985,12,20,1.2278058528900146
1985,12,21,1.1269721984863281
1985,12,22,1.249251127243042
1985,12,23,1.4302557706832886
1985,12,24,1.6650676727294922
1985,12,25,1.7126487493515015
1985,12,26,1.5605212450027466
1985,12,27,0.881942868
1985,12,28,0.2948456406593323
1985,12,29,0.17226482927799225
1985,12,30,0.22820787131786346
1985,12,31,-0.038583975
1986,1,1,-0.253401071
1986,1,2,-0.258381218
1986,1,3,-0.073297627
1986,1,4,0.027625404
1986,1,5,0.017399764
1986,1,6,0.049351301
1986,1,7,-0.15697287
1986,1,8,-0.534335852
1986,1,9,-0.515327871
1986,1,10,-0.646303773
1986,1,11,-0.923312068
1986,1,12,-1.233149171
1986,1,13,-1.224259257
1986,1,14,-1.015225768
1986,1,15,-0.625397027
1986,1,16,0.1946585327386856
1986,1,17,0.7723310589790344
1986,1,18,0.9174855947494507
1986,1,19,0.5532119274139404
1986,1,20,0.39875638484954834
1986,1,21,0.45722970366477966
1986,1,22,0.668286145
1986,1,23,0.9642950892448425
1986,1,24,0.9663825631141663
1986,1,25,0.6640976667404175
1986,1,26,0.6786724328994751
1986,1,27,1.0107372999191284
1986,1,28,0.8219606876373291
1986,1,29,0.8755332231521606
1986,1,30,0.9974343776702881
1986,1,31,1.064100742340088
1986,2,1,1.0828330516815186
1986,2,2,1.0014654397964478
1986,2,3,0.6477770209312439
1986,2,4,0.002429469
1986,2,5,-0.710227489
1986,2,6,-1.389934063
1986,2,7,-1.720050097
1986,2,8,-2.196060896
1986,2,9,-2.584244967
